Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Sales,Quantity,Discount,Profit,
541,ORD-EY-DRER-CO-GR-54302,02.01.2014,02.03.2014,First Class,EY-DRER-CO-GR-54302,TEC-PH-10003589,$468.90,6,0,$206.32,
158,ORD-VE-BRKS-CO-CH-60653,03.01.2014,03.06.2014,Second Class,VE-BRKS-CO-CH-60653,OFF-BI-10003274,$457.57,2,0.2,$51.48,
6549,ORD-KY-FRNN-HO-SE-98115,03.01.2014,03.05.2014,Standard Class,KY-FRNN-HO-SE-98115,OFF-AP-10001205,$17.47,3,0.2,$5.68,
6548,ORD-KY-FRNN-HO-SE-98115,03.01.2014,03.05.2014,Standard Class,KY-FRNN-HO-SE-98115,OFF-EN-10004773,$634.12,6,0.3,-$172.12,
7949,ORD-ID-COER-CO-BU-27217,03.01.2014,03.05.2014,Standard Class,ID-COER-CO-BU-27217,FUR-CH-10002647,$362.25,6,0.3,$0.00,
7948,ORD-ID-COER-CO-PE-33024,03.01.2014,03.05.2014,Standard Class,ID-COER-CO-PE-33024,OFF-AR-10001573,$18.84,5,0.2,-$3.53,
7951,ORD-ID-COER-CO-SE-98115,03.01.2014,03.05.2014,Standard Class,ID-COER-CO-SE-98115,OFF-BI-10002003,$129.55,3,0.2,-$22.67,
7950,ORD-ID-COER-CO-BU-27217,03.01.2014,03.05.2014,Standard Class,ID-COER-CO-BU-27217,OFF-BI-10003910,$63.55,6,0.6,-$34.95,
8310,ORD-TA-WEER-CO-HE-42420,03.01.2014,03.07.2014,Standard Class,TA-WEER-CO-HE-42420,OFF-AP-10004532,$137.35,3,0.2,$8.58,
8311,ORD-TA-WEER-CO-HE-42420,03.01.2014,03.07.2014,Standard Class,TA-WEER-CO-HE-42420,OFF-PA-10004609,$376.51,3,0.3,-$43.03,
5714,ORD-IE-REND-HO-RI-47374,03.01.2014,03.05.2014,Standard Class,IE-REND-HO-RI-47374,OFF-BI-10002498,$5.94,3,0,$1.60,
7955,ORD-NE-HAMS-CO-HI-97123,04.01.2014,04.06.2014,Standard Class,NE-HAMS-CO-HI-97123,OFF-AP-10000938,$6.24,2,0,$3.06,
7954,ORD-NE-HAMS-CO-HI-97123,04.01.2014,04.06.2014,Standard Class,NE-HAMS-CO-HI-97123,OFF-BI-10002071,$66.96,4,0,$2.68,
1374,ORD-ST-MIER-CO-NE-10035,04.01.2014,04.06.2014,Second Class,ST-MIER-CO-NE-10035,FUR-CH-10001482,$17.09,4,0.2,$5.55,
1373,ORD-ST-MIER-CO-LO-11561,04.01.2014,04.06.2014,Second Class,ST-MIER-CO-LO-11561,OFF-ST-10000078,$29.60,2,0,$14.80,
308,ORD-EY-ROER-HO-LA-8701,06.01.2014,06.06.2014,Standard Class,EY-ROER-HO-LA-8701,OFF-FA-10000611,$289.20,6,0,$83.87,
307,ORD-EY-ROER-HO-GR-49505,06.01.2014,06.06.2014,Standard Class,EY-ROER-HO-GR-49505,TEC-AC-10004568,$45.48,3,0,$20.92,
245,ORD-NA-WION-HO-LA-55044,06.01.2014,06.06.2014,Second Class,NA-WION-HO-LA-55044,FUR-FU-10004586,"$2,001.86",7,0,$580.54,
248,ORD-NA-WION-HO-LA-55044,06.01.2014,06.06.2014,Second Class,NA-WION-HO-LA-55044,OFF-AR-10000475,"$1,503.25",5,0,$496.07,
246,ORD-NA-WION-HO-LA-55044,06.01.2014,06.06.2014,Second Class,NA-WION-HO-LA-55044,OFF-LA-10001158,$166.72,2,0,$41.68,
249,ORD-NA-WION-HO-LA-55044,06.01.2014,06.06.2014,Second Class,NA-WION-HO-LA-55044,OFF-PA-10003651,$25.92,4,0,$12.44,
